#Benchmark	runtime	CPU Frequency(MHz)
automotive_susan_c	67.0978032800	1000000
automotive_susan_e	51.9621297020	1000000
automotive_susan_s	46.6117761280	1000000
bzip2d	58.9993676070	1000000
bzip2e	58.9666851400	1000000
consumer_jpeg_c	50.9437075030	1000000
consumer_jpeg_d	127.8428046230	1000000
consumer_tiff2bw	71.5051439800	1000000
consumer_tiff2rgba	132.2447237540	1000000
consumer_tiffdither	58.3792672410	1000000
consumer_tiffmedian	61.3717148610	1000000
network_dijkstra	13.0965605570	1000000
network_patricia	37.0554169330	1000000
office_ghostscript	69.4741914410	1000000
office_ispell	85.1667382800	1000000
office_rsynth	25.9209539060	1000000
office_stringsearch1	21.3338908280	1000000
security_blowfish_d	38.1796193890	1000000
security_blowfish_e	38.2330195590	1000000
security_pgp_d	297.3550174470	1000000
security_pgp_e	59.9071638950	1000000
security_rijndael_d	325.1193564080	1000000
security_rijndael_e	336.3815601400	1000000
security_sha	73.5707430230	1000000
telecom_adpcm_c	26.7738513200	1000000
telecom_adpcm_d	40.8850510030	1000000
telecom_CRC32	133.5647351770	1000000
telecom_gsm	44.3085029660	1000000
automotive_bitcount	40.9880598080	900000
automotive_qsort1	54.9787552670	900000
automotive_susan_c	73.4458047280	900000
automotive_susan_e	57.3232903360	900000
automotive_susan_s	52.3707912210	900000
bzip2d	64.7227002820	900000
bzip2e	62.5591792560	900000
consumer_jpeg_c	55.5352259880	900000
consumer_jpeg_d	136.0012760760	900000
consumer_tiff2bw	77.6410792900	900000
consumer_tiff2rgba	137.9477237670	900000
consumer_tiffdither	62.8430743950	900000
consumer_tiffmedian	66.5672924580	900000
network_dijkstra	14.2967239640	900000
network_patricia	41.0041154380	900000
office_ghostscript	75.8245935080	900000
office_ispell	93.5042801530	900000
office_rsynth	28.5955275070	900000
office_stringsearch1	24.1677244790	900000
security_blowfish_d	42.3384439110	900000
security_blowfish_e	43.0328880230	900000
security_pgp_d	320.3070890540	900000
security_pgp_e	66.2764015430	900000
security_rijndael_d	350.7790414140	900000
