#Timestamp	r011	r004	r014	r008	r013
1419917213296848276	100690281	27421958	27625532	63024924	27425618
1419917213800240911	100679292	27353488	27903459	62372296	27357221
1419917214303465962	100646042	32273431	29035038	83727296	32277003
1419917214806907888	100687887	27927886	28120293	65366609	27931427
1419917215310351939	100688716	27186563	27794275	61678615	27190282
1419917215813593490	100649040	26911972	27737594	60647510	26915891
1419917216316794125	100640777	29816610	28489096	73337358	29820237
1419917216819494136	100539663	30085305	28497393	74315431	30088854
1419917217322997853	100701552	27446593	27737426	63362886	27450387
1419917217826505321	100701024	26549823	27777016	58961857	26553568
1419917218329901830	100620507	28605776	28192273	68226244	28619656
1419917218833042132	100687503	31497798	28862749	80642935	31491332
1419917219336541849	100698988	27424843	27868004	62534353	27428422
1419917219839955983	100683204	27139161	27796068	61861580	27142684
1419917220343072535	100624346	27338751	27807309	62446993	27342323
1419917220846780502	100742179	31339257	28923153	79988344	31342917
1419917221350100345	100663249	28141650	28037445	66276725	28145059
1419917221853468104	100673459	27057696	27863417	60621066	27061213
1419917222357356862	100779027	27568852	27779772	63476086	27572569
1419917222860824205	100694205	30367329	28550971	75774283	30370929
1419917223364080506	100650066	29315110	28428077	71051474	29318682
1419917223867939598	100772196	26910176	27688535	60491638	26914092
1419917224371387190	100689870	27022796	27657976	61632472	27026569
1419917224874960741	100642647	29162228	28385874	70172227	29178157
1419917225378465375	100773147	31129305	28755696	78981210	31120562
1419917225881973592	100702896	26990734	27852383	60977239	26994310
1419917226385396977	100684699	27006386	27775307	60811199	27010083
1419917226888520528	100623863	27074508	27828019	61483603	27078165
1419917227392100704	100717445	31586467	29044687	81019223	31589999
1419917227895532338	100684972	28557370	28016347	67855442	28560925
1419917228398636473	100621062	26842847	27664429	60426405	26846467
1419917228902179440	100709403	27282973	27737308	62264203	27286627
1419917229405733991	100711128	30256400	28775361	75370656	30260085
1419917229908467960	100546016	29118737	28386620	70731571	29122475
1419917230411589887	100624483	26934586	27754833	60394727	26938054
1419917230914288106	100540437	27422471	27763138	62894765	27426107
1419917231417434824	100630080	28601878	28201923	68197179	28605525
1419917231920440085	100601214	30614572	28682526	76818402	30618205
1419917232423348720	100580052	26814964	27982423	60253912	26818614
1419917232926452772	100622955	27183044	27845517	61699860	27186829
1419917233429161199	100542153	27733847	27790382	64448923	27737311
1419917233932264334	100621103	32005166	29124631	82534919	32008672
1419917234435248345	100596541	27385009	27996693	62623878	27388407
1419917234937951605	100540967	27022705	27725033	61431264	27026355
1419917235441053990	100619478	27269635	27775408	62264972	27273207
1419917235943745585	100539930	30499590	28664350	76586414	30503047
1419917236446799762	100609857	29732464	28415612	73028242	29736006
1419917236949722730	100543428	27137672	27790700	61491349	27141296
1419917237452587282	100613865	27065137	27683666	61661981	27068899
1419917237955732876	100630167	29079785	28237204	70141533	29083499
1419917238458450678	100544331	30989827	28825559	78331869	30993208
1419917238961765771	100661917	27088442	27707489	61580720	27092084
1419917239464505865	100548704	27478260	27805395	62997927	27481962
1419917239967465459	100592671	27255760	27896568	62574343	27259314
1419917240470463553	100599504	31881150	29029051	82095605	31884862
1419917240973194563	100540988	27768861	27864559	64699937	27772503
1419917241476595823	100681392	26950179	27862316	60627233	26953842
1419917241979315625	100544326	27579559	27765406	63480817	27583416
1419917242482490802	100634805	30448561	28572512	76211988	30452088
1419917242985399187	100582188	29263454	28408209	70968535	29266946
1419917243487975323	100515297	27332656	27726081	62866676	27336397
1419917243990883459	100581455	27097851	27791185	61424274	27101553
1419917244493454095	100515043	28484470	28063807	68013787	28488025
1419917244996299106	100569723	31828547	28941420	81749838	31832080
1419917245498942408	100523675	26890130	27697656	60736949	26893578
1419917246002086335	100632648	27311228	27733322	62424580	27314992
1419917246504942846	100570722	27114005	27746354	61624079	27117612
